M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24
1,754526681;0,326480299;2,319384609;1,002253378;0,440082065;0;3,284267558;2,338464414;0,382979031;4,597231275;1,109365229;0,122056826;0,028988601;0,288798069;1,488177013;0;0;0;0;0;0;0;5,022684005;0,061700432
1,491373284;0,240133463;2,107801968;0,830969308;0,349168441;0;3,193784633;1,053206342;0,269318349;4,511268406;1,251132648;0,099277367;0,024242384;0,259148615;0,331036461;0;0;0;0;0,024075605;0;0;4,673482223;0,055364359
1,628661623;0,237595806;2,929069172;1,236903703;0,715880231;0;3,473762262;1,790610766;0,509477374;4,163573397;0,409600241;0,102027921;0;0,334345246;0,380802579;0;0;0;0;0,029836927;0;0;5,21569336;0,124478197
2,243245051;0,588830602;3,430457524;1,53272275;1,303460695;0;3,816988127;1,268833549;0,857037279;3,814577641;0,534606255;0,047137689;0;0,171585581;0,205230567;0;0,022520205;0;0;0,154154233;0;0;4,04836961;0,033173711
1,61280823;0,158032719;2,647437103;0,564999832;0,582706069;0;3,635354879;0,770244885;0,298358295;4,293761252;0,48496435;0,072453392;0;0,229405382;0,228445057;0;0;0;0;0,02588201;0;0;4,357957694;0,026093445
0,890888472;0,077244327;2,001194871;0,940305369;0,309637486;0;3,598032556;0,517465788;0,269593151;3,874305135;0,334945107;0,055391455;0;0,173242724;0,157483645;0;0;0;0;0,055641623;0;0;3,84790351;0,023067515
1,386602008;0,079133958;1,332435258;0,739805744;0,249507685;0;3,923125672;1,159880407;0,322216115;4,117009647;0,343577669;0,058542712;0;0,141253022;0,181415815;0;0;0;0;0;0;0;3,783808628;0,039283261
0,906611628;0,029743006;2,156881971;0,612495319;0,351002614;0;3,281110205;1,727274079;0,222609625;3,166467164;0,178479138;0;0;0,104192616;0,145336228;0;0;0;0;0;0;0;2,160471649;0
0,816778951;0,041629565;1,487071302;0,598212755;0,236894538;0;3,121796652;1,810602523;0,215163114;3,283743889;0,19230926;0;0;0,135891846;0,179411129;0;0;0;0;0;0;0;3,375935963;0
0;0;1,321593522;2,864573143;0,327745803;0;1,501173345;1,614757426;0,842676711;1,029914547;0,388231189;0,007069343;0;0,329303567;0;0;0,434581489;0;0;0,342231841;0;0;1,851326443;0
0;0;0,349550756;4,573176288;0,051178713;0,002131666;0,299769683;3,442235222;0,502216696;0;0;0;0;0,075841049;0,063825716;0;0;0;0,519789173;0;0;0;2,789093994;0,072940148
0;0;0,219481723;4,321546573;0,008258098;0;0,079039827;3,409692715;0,396462319;0;0;2,463935792;0;0,025864063;0;0;0,185731431;0;1,149116886;0,297464509;0,68778136;0;0,161306219;0
